Reference,Value,TME_SYMBOL,Footprint,Qty,Opis,Comment,TME Symbol,Manufacturer Part Number,TME URL,Unit Price PLN,Line Total PLN,Order Qty,Excess Qty,Stock Qty,TME Match Status,TME Match Notes
"C6,C13,C21,C22,C24,C25",150uF,EEEFT1A151AR,Capacitor_SMD:CP_Elec_5x4.5,6,Polarized capacitor,,EEEFT1A151AR,,,,,,,,manually_provided,TME symbol was provided manually and not reviewed by the helper.
C7,10uF,VS1H100MC054000CE0,Capacitor_SMD:CP_Elec_5x4.5,1,Polarized capacitor,,VS1H100MC054000CE0,,,,,,,,manually_provided,TME symbol was provided manually and not reviewed by the helper.
C14,100nF,,Capacitor_SMD:C_2220_5750Metric,1,Unpolarized capacitor,,GCJ55DR73A104KXJ1L,GCJ55DR73A104KXJ1L,https://www.tme.eu/pl/details/gcj55dr73a104kxj1l/,2.455000,2.455000,1,0,94,needs_review,Verified 100nF X7R 1kV MLCC in exact 2220 SMD footprint.
"C28,C34",40uF,T491D476K010AT,Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D,2,Polarized capacitor,,T491D476K010AT,,,,,,,,manually_provided,TME symbol was provided manually and not reviewed by the helper.
"C31,C32",200-600pF,,Capacitor_SMD:C_0805_2012Metric,2,Unpolarized capacitor,,,,,,,,,,no_in_stock_match,No priced in-stock candidate found.
"C38,C39",10uF,CS3216X5R106M500NR,Capacitor_SMD:C_1206_3216Metric,2,Unpolarized capacitor,,CS3216X5R106M500NR,,,,,,,,manually_provided,TME symbol was provided manually and not reviewed by the helper.
D1,B3100BE-13,B3100BE-13,Diode_SMD:D_SMB,1,Diode,,B3100BE-13,,,,,,,,manually_provided,TME symbol was provided manually and not reviewed by the helper.
D2,Zener 3.5V,,Diode_SMD:D_SMB,1,Zener diode,,,,,,,,,,no_in_stock_match,No priced in-stock candidate found.
"D3,D4",SS24,,Diode_SMD:D_SMB,2,Schottky diode,,SS24-AKS,AKS0014,https://www.tme.eu/pl/details/ss24-aks/,1.204600,2.409200,2,0,2290,needs_review,SS24-AKS is not the exact requested SS24 MPN.
D6,BZV55B7V5,,Diode_SMD:D_MiniMELF,1,"7.5V, 500mW, 2%, Zener diode, MiniMELF",,,,,,,,,,no_in_stock_match,No priced in-stock candidate found.
F1,2A,PTSLR08058V200,Fuse:Fuse_0805_2012Metric,1,Fuse,,PTSLR08058V200,,,,,,,,manually_provided,TME symbol was provided manually and not reviewed by the helper.
F4,500mA,0ZCK0050FF2E,Fuse:Fuse_0805_2012Metric,1,Fuse,,0ZCK0050FF2E,,,,,,,,manually_provided,TME symbol was provided manually and not reviewed by the helper.
F5,750mA,SR075-06,Fuse:Fuse_0805_2012Metric,1,Fuse,,SR075-06,,,,,,,,manually_provided,TME symbol was provided manually and not reviewed by the helper.
J1,USB_C_Receptacle_USB2.0_14P,,Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB 2.0-only 14P Type-C Receptacle connector,,,,,,,,,,needs_review,Custom USB-C footprint has no verified TME mechanical equivalent.
"J2,J5",Conn_02x03_Odd_Even,,Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Horizontal,2,"Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,needs_review,Horizontal socket geometry and pin arrangement are not independently specified.
